Rank,Title,Director,Tagline,Overview,Runtime,Genres,Release Year,Cast,Rating
7797,The Great Battle,Kim Kwang-sik,Fight to the death.,"Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies.",135,"War, History, Action",2018,"Zo In-sung, Nam Joo-hyuk, Park Sung-woong, Bae Sung-woo, Um Tae-goo, Kim Seol-hyun, Park Byung-eun, Oh Dae-hwan, Jung Eun-chae, Yu Oh-seong, Jang Gwang, Sung Dong-il",6.785
7798,Only Lovers Left Alive,Jim Jarmusch,,"A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.",123,"Drama, Romance",2013,"Tom Hiddleston, Tilda Swinton, Mia Wasikowska, John Hurt, Anton Yelchin, Slimane Dazi, Jeffrey Wright, Ali Amine, Carter Logan, Aurélie Thépaut, Dave W., Ego Sensation",7.251
7799,Once Upon a Time: The Super Heroes,Michel Viotte,,"The historical saga of American superheroes. Born in the period between the Great Depression and the World War II to combat the hobgoblins of the modern world, these mutant human beings with superhuman powers colonized the funny papers, radio dramas, television and films, to become a truly national industry in the United States: they gave expression to the fears and obsessions of the twentieth century and bolstered American ideals.",100,"Documentary, TV Movie",2001,"Alex Ross, Bill Sienkiewicz, Carmine Infantino, Dave Gibbons, Harry Brod, Jim Lee, Joe Kubert, Joe Quesada, John Buscema, John Romita, Sr., Lauren Shuler Donner, Lynda Carter",6.6
7800,"Palipat-lipat, Papalit-palit",Roman Perez Jr.,,"Edna and Larry's simple life in the province gets shaken when Amy, an alluring woman, comes in between them.",143,Drama,2024,"VR Relosa, Denise Esteban, Aiko Garcia, Chester Grecia, Amabella De Leon, Mikhael Padua",3.0
7801,Sneakerella,Elizabeth Allen Rosenbaum,Lace up and dream.,"When El, an aspiring sneaker designer from Queens, meets Kira King, the fiercely independent daughter of legendary basketball star and sneaker tycoon Darius King, sparks fly as the two bond over their mutual affinity for sneakers. With a little nudge from his best friend and a sprinkle of Fairy Godfather magic, El finds the courage to use his talent to pursue his dream of becoming a ‘legit’ sneaker designer in the industry.",110,"Music, Comedy, Family",2022,"Chosen Jacobs, Lexi Underwood, Kolton Stewart, Devyn Nekoda, Robyn Alomar, John Salley, Yvonne Senat Jones, Ryan Wilson, Juan Chioran, Robert J. Tavenor, Bryan Terrell Clark, Hayward Leach",6.0
7802,Tom and Jerry: The Movie,Phil Roman,The world's most famous cat and mouse in their first motion picture.,The popular cartoon cat and mouse are thrown into a feature film. The story has the twosome trying to help an orphan girl who is being berated and exploited by a greedy guardian.,84,"Family, Animation, Comedy",1992,"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor, Henry Gibson, Michael Bell, Ed Gilbert, David L. Lander, Howard Morris, Sydney Lassick, Raymond McLeod",6.266
7803,My Sex Doll,"Atip Ketubol, Phakhawat Phakanan",,"The story of chaos both body and mind occurs when Brick receives a package of mystery that is inside Anna Sex Doll AI system that Able to develop themselves as human beings Brick had to try sex with Anna to test its functionality. Otherwise, he will owe $ 50 million from his father's loan to invest in making sex dolls. Everything seems to be going well. But stuck that he is still a virgin and is afraid of women! What will the bricks do next? When he is the only one who will be able to touch her",98,"Comedy, Romance",2020,"Pichana Yoosuk, Piamchon Damrongsunthornchai, David Asavanond, Suchada Pramoulkan, Ladapa Ratchataamonchot",7.6
7804,LEGO: The Adventures of Clutch Powers,Howard E. Baker,First Full-Length LEGO Movie!,Clutch Powers ventures on a mission assigned to him by his boss to solve the chaos that occurred on the Space Police prison planet.,81,"Action, Adventure, Animation, Family",2010,"Ryan McPartlin, Paul Michael Glaser, Roger Rose, Jeff Bennett, Gregg Berger, Stephan Cox, Alex Désert, Chris Hardwick, Christopher Emerson, John Di Crosta, Richard Doyle, Yvonne Strahovski",5.835
7805,Like Stars on Earth,Aamir Khan,Every child is special.,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",162,Drama,2007,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda, Sachet Engineer, Girija Oak, Bugs Bhargava, Shankar Sachdev, Lalita Lajmi, Ravi Khanvilkar, Meghna Malik",7.994
7806,The Five-Year Engagement,Nicholas Stoller,A comedy about the journey between popping the question and tying the knot.,"Exactly one year after Tom meets Violet, he surprises her with a wedding ring. By all accounts, Tom and Violet are destined for their happily ever after. However, this engaged couple just keep getting tripped up on the long walk down the aisle.",124,"Comedy, Romance",2012,"Jason Segel, Emily Blunt, Rhys Ifans, Chris Pratt, Alison Brie, Jacki Weaver, Jim Piddock, David Paymer, Mimi Kennedy, Mindy Kaling, Kevin Hart, Brian Posehn",5.848
7807,The Accidental Husband,Griffin Dunne,Falling in love...even the expert is confused.,"Emma, a radio host, is about to be married to Richard, her perfect match. But right before her wedding, she learns she's already married to Patrick, a charming but irresponsible fireman. Furthermore, Patrick has a secret: he has arranged this little trick because Emma advised Patrick's ex-fiancée to end their relationship. However, Patrick may find that the trick is on him, for he soon begins to fall in love with his uptight adversary.",90,"Comedy, Romance",2008,"Uma Thurman, Colin Firth, Jeffrey Dean Morgan, Sam Shepard, Isabella Rossellini, Brooke Adams, Keir Dullea, Justina Milagros Machado, Lindsay Sloane, Ajay Naidu, Sarita Choudhury, Jeffrey Tedmori",5.522
7808,The Sisterhood of the Traveling Pants,Ken Kwapis,Laugh. Cry. Share the pants.,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",119,"Drama, Comedy, Romance",2005,"Amber Tamblyn, America Ferrera, Blake Lively, Alexis Bledel, Bradley Whitford, Nancy Travis, Rachel Ticotin, Jenna Boyd, Mike Vogel, Michael Rady, Leonardo Nam, Maria Konstadarou",6.5
7809,Idle Hands,Rodman Flender,The touching story of a boy and his right hand.,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.",92,"Comedy, Horror, Fantasy",1999,"Devon Sawa, Seth Green, Elden Henson, Jessica Alba, Christopher Hart, Vivica A. Fox, Jack Noseworthy, Katie Wright, Sean Whalen, Nicholas Sadler, Fred Willard, Connie Ray",6.155
7810,Pumpkinhead,Stan Winston,For each of man's evils a special demon exists...,"When a group of teenagers inadvertently kill his only son, Ed Harley seeks the powers of a backwoods witch to bring the child back to life.",86,"Fantasy, Horror",1988,"Lance Henriksen, Jeff East, John D'Aquino, Cynthia Bain, Kerry Remsen, Lee de Broux, Peggy Walton-Walker, Chance Michael Corbitt, Dick Warlock, Devon Odessa, Mayim Bialik, Tom Woodruff Jr.",6.3
7811,The Chronicles of Riddick,David Twohy,All the power in the universe can't change destiny,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",119,"Action, Science Fiction",2004,"Vin Diesel, Thandiwe Newton, Karl Urban, Alexa Davalos, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Nick Chinlund, Roger Cross, Kim Hawthorne, Judi Dench",6.518
7812,Still Alice,"Richard Glatzer, Wash Westmoreland",Live in the moment.,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",100,Drama,2014,"Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin, Seth Gilliam, Kristen Stewart, Stephen Kunken, Erin Darke, Daniel Gerroll, Quincy Tyler Bernstine, Maxine Prescott",7.499
7813,Emanuelle - Why Violence Against Women?,Joe D'Amato,Emanuelle's back to take you places you've never been before!,"Intrepid photojournalist Emanuelle arrives in San Francisco, where she briefly meets up with fellow journalist -- and fellow feminist -- Cora Norman, before being whisked off to India to investigate a guru con artist.",102,"Adventure, Drama, Horror",1977,"Laura Gemser, Ivan Rassimov, Karin Schubert, Don Powell, George Eastman, Brigitte Petronio, Marino Masé, Gianni Macchia, Paola Maiolini, Claudio Aliotti, Lanfranco Spinola, Juliet Graham",5.55
7814,Visitor Q,Takashi Miike,The only thing stranger than this family is... Visitor Q.,"In a dysfunctional family where the mother is a heroin addict and prostitute, beaten by her son, and the father is an ex-TV reporter, sleeping with his daughter and filming his son being beaten up, ‘Q’, a complete stranger enters the bizarre family, changing their lives for the better, finding a balance in their disturbing natures.",84,"Comedy, Drama, Horror, Thriller",2001,"Kenichi Endo, Shungicu Uchida, Kazushi Watanabe, Jun Mutô, Fujiko, Shôko Nakahara, Ikko Suzuki",6.409
7815,Tenacious D in The Pick of Destiny,Liam Lynch,An epic quest. A magical guitar pick. A chance to put the D in Destiny.,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",93,"Comedy, Music",2006,"Jack Black, Kyle Gass, JR Reed, Ronnie James Dio, Paul F. Tompkins, Troy Gentile, Ned Bellamy, Fred Armisen, Kirk Ward, Amy Poehler, Tim Robbins, Dave Grohl",6.743
7816,Paint,Brit McAdams,Go to a special place.,"Carl Nargle, Vermont’s #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke… until a younger, better artist steals everything (and everyone) Carl loves.",96,"Comedy, Drama, Romance",2023,"Owen Wilson, Michaela Watkins, Wendi McLendon-Covey, Ciara Renée, Lusia Strus, Stephen Root, Lucy Freyer, Denny Dillon, Evander Duck Jr., Elisabeth Henry-Macari, Michael Pemberton, Rob Figueroa",5.544
7817,Selena Gomez: My Mind & Me,Alek Keshishian,"Every breath, a breakthrough.","After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness. This uniquely raw and intimate documentary spans her six-year journey into a new light.",95,"Documentary, Music",2022,"Selena Gomez, Raquelle Stevens, Ashley Cook",8.2
7818,Private Benjamin,Howard Zieff,The Army was no laughing matter until Judy Benjamin joined it.,A sheltered young high society woman joins the US Army on a whim and finds herself in a more difficult situation than she ever expected.,110,Comedy,1980,"Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber, Sam Wanamaker, Barbara Barrie, Mary Kay Place, Harry Dean Stanton, Albert Brooks, Alan Oppenheimer, Estelle Marlov, Everett Covin",5.938
7819,Astérix at the Olympic Games,"Thomas Langmann, Frédéric Forestier",,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina. Brutus uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar in the process.",116,"Fantasy, Adventure, Comedy, Family",2008,"Gérard Depardieu, Clovis Cornillac, José Garcia, Franck Dubosc, Stéphane Rousseau, Jean-Pierre Cassel, Mónica Cruz, Alain Delon, Benoît Poelvoorde, Vanessa Hessler, Michael Herbig, Santiago Segura",5.203
7820,Rock Dog,Ash Brannon,A new breed of rock star,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",90,"Adventure, Animation, Comedy, Family, Music",2016,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon, Sam Elliott, Will Finn, Ash Brannon, Liza Richardson",6.17
7821,Saboteur,Alfred Hitchcock,Unmasking The Man Behind Your Back!,Aircraft factory worker Barry Kane flees across the United States after he is wrongly accused of starting the fire that killed his best friend.,108,"Thriller, Mystery",1942,"Robert Cummings, Priscilla Lane, Otto Kruger, Alan Baxter, Clem Bevans, Norman Lloyd, Alma Kruger, Vaughan Glaser, Dorothy Peterson, Ian Wolfe, Frances Carson, Murray Alper",6.893
7822,Of Mice and Men,Gary Sinise,"We have a dream. Someday, we'll have a little house and a couple of acres. A place to call home.","Two drifters, one a gentle but slow giant, try to make money working the fields during the Depression so they can fulfill their dreams.",110,"Drama, Western",1992,"John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko, Sherilyn Fenn, John Terry, Richard Riehle, Alexis Arquette, Joe Morton, Noble Willingham, Joe D'Angerio, Tuck Milligan",7.253
7823,When a Man Loves a Woman,Luis Mandoki,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.,"An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior.",126,"Drama, Romance",1994,"Andy García, Meg Ryan, Tina Majorino, Philip Seymour Hoffman, Lauren Tom, Mae Whitman, Ellen Burstyn, Eugene Roche, Gail Strickland, Steven Brill, Susanna Thompson, Erinn Canavan",6.5
7824,Silent Running,Douglas Trumbull,Amazing companions on an incredible adventure... that journeys beyond imagination!,"After the entire flora goes extinct, ecologist Lowell maintains a greenhouse aboard a space station for the future with his android companions. However, he rebels after being ordered to destroy the greenhouse in favor of carrying cargo, a decision that puts him at odds with everyone but his mechanical companions.",89,"Adventure, Science Fiction",1972,"Bruce Dern, Cliff Potts, Ron Rifkin, Jesse Vint, Mark Persons, Steven Brown, Cheryl Sparks, Larry Whisenhunt, Joseph Campanella, Roy Engel",6.4
7825,Blown Away,Stephen Hopkins,5. 4. 3. 2. 1......Time's Up.,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,121,Action,1994,"Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges, Forest Whitaker, Stephi Lineburg, John Finn, Caitlin Clarke, Christofer de Oni, Loyd Catlett, Ruben Santiago-Hudson, Lucinda Weist",6.204
7826,Bangkok Dangerous,"Danny Pang, Oxide Pang Chun",It's all in the execution.,"When carrying out a hit, assassin Joe always makes use of the knowledge of the local population. On arriving in Bangkok, Joe meets street kid Kong and he becomes his primary aide. But when Kong is nearly killed, he asks Joe to train him up in the deadly arts and unwittingly becomes a target of a band of killers.",99,"Action, Crime, Thriller",2008,"Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee, Nirattisai Kaljaruek, Dom Haetrakul, Tuck Napaskorn, Steve Baldocchi, Chris Heebink, James With, Peter Shadrin, Arthajid Puengvicha",5.174
7827,Soorarai Pottru,Sudha Kongara Prasad,,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",149,"Drama, Action",2020,"Suriya, Aparna Balamurali, Paresh Rawal, Mohan Babu, Urvashi, Karunas, 'Poo' Ram, Krishnakumar Balasubramanian, Vivek Prasanna, Kaali Venkat, Vinodhini Vaidyanathan, Prakash Belawadi",7.774
7828,The Insider,Michael Mann,Two men driven to tell the truth … whatever the cost.,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,158,"Drama, Thriller",1999,"Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora, Philip Baker Hall, Lindsay Crouse, Debi Mazar, Stephen Tobolowsky, Colm Feore, Bruce McGill, Gina Gershon, Michael Gambon",7.454
7829,The Land Before Time XII: The Great Day of the Flyers,Charles Grosvenor,,"As the Great Day of the Flyers nears, the Great Valley's flying youngsters are eager to participate in the annual exhibition to show off their skills. Everyone, that is, except free-spirited pterodactyl Petrie, whose individualism causes problems when it comes to staying in formation. Enter his dinosaur pals Littlefoot, Cera, Spike and Ducky, who encourage Petrie to embrace his uniqueness.",77,"Animation, Family, Adventure",2006,"John Ingle, Nick Price, Frank Welker, Aria Noelle Curzon, Rob Paulsen, Camryn Manheim, Anndi McAfee, Kenneth Mars, Miriam Flynn, Tress MacNeille, Jeff Bennett, Nika Futterman",6.2
7830,A Christmas Carol,Nick Murphy,A Holiday classic reimagined.,"London, 1843. Ebenezer Scrooge, a bitter old man, despises the Christmas holiday. Over the course of Christmas Eve night he is visited by three ghosts to show him his past, present and future.",173,"Drama, Fantasy",2019,"Guy Pearce, Andy Serkis, Stephen Graham, Joe Alwyn, Vinette Robinson, Jason Flemyng, Charlotte Riley, Johnny Harris, Kayvan Novak, Callum Evans, Tiarna Williams, Lenny Rush",7.006
7831,Think Like a Man Too,Tim Story,,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",105,"Comedy, Romance",2014,"Kevin Hart, Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall, Dennis Haysbert, Taraji P. Henson, Terrence Jenkins, Jenifer Lewis, Romany Malco, Wendi McLendon-Covey, Gary Owen",6.426
7832,Grave Encounters,"Colin Minihan, Stuart Ortiz",They Were Searching For Proof.  They Found it.,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,93,"Thriller, Horror",2011,"Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir, Mackenzie Gray, Juan Riedinger, Arthur Corber, Luis Javier, Shawn Macdonald, Bob Rathie, Benjamin Wilkinson, Fred Keating, Michele Cummins",6.279
7833,Jikirag,"Alexander J. Baxter, Leigah Keewatin, Jessica Moutray",A pagan horror.,"A pagan village, founded on the bones of both innocent and foul, is deeply rooted within the heart of an ancient Eden. When a balance of flesh and soil decays, the last surviving village elder battles madness and the macabre to save her people from not only themselves, but the monstrous judgement that burrows up from below.",120,Horror,2022,"Tracey Roath, Alexander J. Baxter, Roy Campsall, Josefin Jönsson Tysén, Corey Woods, Brian Johnston, Jessica Moutray",6.8
7834,All the Right Moves,Michael Chapman,He has everything at stake. He can't afford to lose. He's got to make all the right moves.,"Sensitive study of a headstrong high school football star who dreams of getting out of his small Western Pennsylvania steel town with a football scholarship. His equally ambitious coach aims at a college position, resulting in a clash which could crush the player's dreams.",91,"Romance, Drama",1983,"Tom Cruise, Craig T. Nelson, Lea Thompson, Charles Cioffi, Gary Graham, Paul Carafotes, Chris Penn, Sandy Faison, James A. Baffico, Mel Winkler, Walter Briggs, George Betor",5.751
7835,Clown,Jon Watts,The kids aren't alright.,"A loving father finds a clown suit for his son's birthday party, only to realize the suit is part of an evil curse that turns its wearer into a killer.",99,"Horror, Thriller",2014,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano, Chuck Shamata, Elizabeth Whitmere, Victor Cornfoot, Lucas Kelly, Emily Burley, Matthew Stefiuk, Michael Riendeau, Miller Timlin",5.758
7836,Hustle & Flow,Craig Brewer,Everybody gotta have a dream.,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",116,"Crime, Drama, Music",2005,"Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes, Juicy J, William Engram, Bobby Sandimanie",7.091
7837,Calamity Jane,David Butler,"Warner Bros.' sky highest, smile widest, wild and woolliest Western of 'em all!","Sharpshooter Calamity Jane takes it upon herself to recruit a famous actress and bring her back to the local saloon, but jealousy soon gets in the way.",101,"Comedy, Music, Romance, Western",1953,"Doris Day, Howard Keel, Allyn Ann McLerie, Philip Carey, Dick Wesson, Paul Harvey, Chubby Johnson, Gale Robbins, Billy Bletcher, Bess Flowers, Colin Kenny, Frank McLure",6.96
7838,The First Great Train Robbery,Michael Crichton,Never have so few taken so much from so many.,"In Victorian England, a master criminal makes elaborate plans to steal a shipment of gold from a moving train.",110,"Thriller, Adventure, Drama, Crime",1978,"Sean Connery, Donald Sutherland, Lesley-Anne Down, Alan Webb, Malcolm Terris, Robert Lang, Wayne Sleep, Michael Elphick, Gabrielle Lloyd, Pamela Salem, George Downing, James Cossins",6.681
7839,Red Sun,Terence Young,The greatest fighting machine the West has ever known.,"In 1870, Japanese ambassador Sakaguchi and his entourage travel by train to Washington to deliver a valuable sword to the President of the United States, a gift from the Emperor of Japan. On board the same train are two robbers, Link and Gauche, ready to make their move…",114,Western,1971,"Charles Bronson, Toshirō Mifune, Alain Delon, Ursula Andress, Capucine, Hiroshi Tanaka, Barta Barri, Guido Lollobrigida, Anthony Dawson, Gianni Medici, Georges Lycan, Luc Merenda",6.938
7840,Tarzan & Jane,"Victor Cook, Steve Loter, Don MacKinnon, Lisa Schaffer",Two Worlds - One New Adventure!,"With the first anniversary of her wedding to Tarzan beckoning, Jane ponders how to make it the perfect English celebration.",75,"Animation, Family",2002,"Michael T. Weiss, Olivia d'Abo, Jeff Bennett, Jim Cummings, April Winchell, René Auberjonois, Grey DeLisle, Alexis Denisof, John O'Hurley, Phil Proctor, Nicollette Sheridan, Tara Strong",5.972
7841,No Mercy,Lim Kyoung-tack,Nothing can stop her from saving her missing sister.,A woman seeks to take revenge when her younger sister disappears and she finds out that her sister suffered violence and sexual abuse from school bullies.,93,"Action, Adventure, Crime, Thriller",2019,"Lee Si-young, Park Se-wan, Lee Jun-hyuk, Choi Jin-ho, Lee Hyeong-cheol, Kim Won-hae",7.2
7842,Batman Ninja,Junpei Mizusaki,,"Batman, along with many of his allies and adversaries, finds himself transported to feudal Japan by Gorilla Grodd's time displacement machine.",85,"Animation, Action, Science Fiction",2018,"Koichi Yamadera, Wataru Takagi, Rie Kugimiya, Ai Kakuma, Hochu Otsuka, Daisuke Ono, Akira Ishida, Kengo Kawanishi, Yuki Kaji, Junichi Suwabe, Cho, Takehito Koyasu",5.773
7843,Assassination Classroom the Movie: 365 Days' Time,Seiji Kishi,,"A compilation film of the Ansatsu Kyoushitsu TV series, featuring anime-only epilogue scenes not originally in the manga.",92,"Action, Animation, Comedy",2016,"Jun Fukuyama, Mai Fuchigami, Nobuhiko Okamoto, Aya Suzaki, Ayaka Suwa, Chie Matsuura, Eiji Miyashita, Fuuko Saito, Hisako Kanemoto, Junji Majima, Kana Ueda, Kouki Harasawa",6.56
7844,Hair,Miloš Forman,Let the sunshine in!,"Upon receiving his draft notice and leaving his family ranch in Oklahoma, Claude heads to New York and befriends a tribe of long-haired hippies on his way to boot camp.",121,"Music, Drama, Comedy",1979,"John Savage, Treat Williams, Beverly D'Angelo, Annie Golden, Dorsey Wright, Don Dacus, Cheryl Barnes, Richard Bright, Nicholas Ray, Charlotte Rae, Miles Chapin, Fern Tailer",7.293
7845,Geek Charming,Jeffrey Hornaday,,"Film geek Josh is looking for the subject of his new documentary when a chance meeting puts the perfect star in his sights—Dylan, his school's most popular junior. But Dylan's hopes of using the film to become Blossom Queen don't quite match with Josh's goal to make a hard-hitting exposé about popularity. Will Josh shoot the film as planned, or show Dylan as the truly interesting person she is?",99,"Comedy, Drama, Family, TV Movie",2011,"Sarah Hyland, Matt Prokop, Vanessa Morgan, Sasha Pieterse, Lili Simmons, Andrea Brooks, Jordan A. Nichols, Jimmy Bellinger, David Del Rio, Lilli Birdsell, Andrew Airlie, Kacey Rohl",6.645
7846,The Tender Bar,George Clooney,Between the ones who love you and the ones who leave you is the journey of a lifetime.,"JR is a fatherless boy growing up in the glow of a bar where the bartender, his Uncle Charlie, is the sharpest and most colorful of an assortment of quirky and demonstrative father figures. As the boy’s determined mother struggles to provide her son with opportunities denied to her — and leave the dilapidated home of her outrageous if begrudgingly supportive father — JR begins to gamely, if not always gracefully, pursue his romantic and professional dreams, with one foot persistently placed in Uncle Charlie’s bar.",104,Drama,2021,"Ben Affleck, Tye Sheridan, Daniel Ranieri, Lily Rabe, Christopher Lloyd, Max Martini, Rhenzy Feliz, Briana Middleton, Max Casella, Sondra James, Michael Braun, Matthew Delamater",6.612
7847,"Godzilla, King of the Monsters!","Ishirō Honda, Terry O. Morse","Incredible, unstoppable titan of terror!","During an assignment, foreign correspondent Steve Martin spends a layover in Tokyo and is caught amid the rampage of an unstoppable prehistoric monster the Japanese call 'Godzilla'. The only hope for both Japan and the world lies on a secret weapon, which may prove more destructive than the monster itself.",81,"Science Fiction, Horror",1956,"Raymond Burr, Akira Takarada, Momoko Kôchi, Akihiko Hirata, Takashi Shimura, Frank Iwanaga, James Hong, Sachio Sakai, Fuyuki Murakami, Ren Yamamoto, Toyoaki Suzuki, Tadashi Okabe",6.6
7848,Romance of the West Chamber,Lam Yee Hung,,"Cheung, a 23-year-old unmarried travelling scholar, stops by the monastery, where he sees a beautiful woman. Against the rules, Monk Faben allows Cheung to stay and woo the girl, Ann-Ann. She is shy, and also the Prime Minister's daughter, so the wooing is arranged by Ann-Ann's maid Hung.",92,"History, Romance",1997,"Chisato Kawamura, Jimmy Wong Shu-Kei, Elvis Tsui Kam-Kong, Teresa Mak Ka-Kei, Karen Yeung Ga-Ling, Miu Kam-Fung, Boon Mei Sam",5.6
7849,Wild Strawberries,Ingmar Bergman,,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",91,Drama,1957,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl, Folke Sundquist, Björn Bjelfvenstam, Naima Wifstrand, Gunnel Broström, Gertrud Fridh, Sif Ruud, Gunnar Sjöberg",8.127
7850,Mannequin Two: On the Move,Stewart Raffill,She's been frozen for a thousand years...now it's time to break the ice.,"Although Jason works as a department store clerk, he is also a reincarnated prince. Long ago, his beloved Jessie was snatched away from him by an evil wizard who used his powers to transform her into wooden statue. Now Jessie is in Jason's department store as a mannequin. When he encounters her, she awakens from her thousand-year sleep. They quickly revive their romance, but the evil wizard has been reincarnated as well, and he's up to no good.",95,"Fantasy, Comedy, Science Fiction, Romance",1991,"Kristy Swanson, William Ragsdale, Meshach Taylor, Terry Kiser, Stuart Pankin, Cynthia Harris, Heather Henderson, Andrew Hill Newman, Julie Foreman, John Edmondson, Phil Latella, Mark Gray",5.752
7851,Emma,Douglas McGrath,Cupid is armed and dangerous!,"Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.",121,"Romance, Comedy, Drama",1996,"Gwyneth Paltrow, Toni Collette, Alan Cumming, Ewan McGregor, Jeremy Northam, Greta Scacchi, Juliet Stevenson, Polly Walker, Sophie Thompson, Denys Hawthorne, James Cosmo, Phyllida Law",6.669
7852,Kill 'em All,Peter Malota,When you don't know who to trust...,"After a massive shootout, a mysterious stranger arrives at a local hospital on the brink of death. Then, a foreign gang brazenly comes to the hospital to hunt him down. His nurse, the sole surviving witness to the follow-up shootout, must face an FBI interrogation that unlocks a plot of international intrigue and revenge.",96,"Action, Crime",2017,"Jean-Claude Van Damme, Autumn Reeser, Peter Stormare, María Conchita Alonso, Daniel Bernhardt, Kris Van Damme, Mila Kalađurđević, Peter Organ, Paul Sampson, Kieran Gallagher, Eddie Matthews, Talia Andrews",5.099
